Agency,Type
Capital Development Board,Capital projects
Illinois Sports Facilities Authority,Capital projects
Metropolitan Pier And Exposition Authority,Capital projects
Department Of Corrections,Corrections
Prisoner Review Board,Corrections
Department Of Commerce And Economic Opportunity,Economic development
Illinois Finance Authority,Economic development
Southwestern Illinois Development Authority,Economic development
State Board Of Education,Education
Department Of Agriculture,Environmental
Department Of Natural Resources,Environmental
Illinois Environmental Protection Agency,Environmental
Department Of Healthcare And Family Services,Health care
Board Of Higher Education,Higher education
Chicago State University,Higher education
Eastern Illinois University,Higher education
Governors State University,Higher education
Illinois Community College Board,Higher education
Illinois Mathematics And Science Academy,Higher education
Illinois State University,Higher education
Illinois Student Assistance Commission,Higher education
Northeastern Illinois University,Higher education
Northern Illinois University,Higher education
Southern Illinois University,Higher education
State Universities Civil Service System,Higher education
University Of Illinois,Higher education
Western Illinois University,Higher education
Department Of Children And Family Services,Human services
Department Of Human Rights,Human services
Department Of Human Services,Human services
Department Of Juvenile Justice,Human services
Department Of Veterans' Affairs,Human services
Department On Aging,Human services
Department Of Employment Security,Labor
Department Of Labor,Labor
Illinois Labor Relations Board,Labor
Workers' Compensation Commission,Labor
Commission On Government Forecasting and Accountability,Management
Court Of Claims,Management
Department Of Central Management Services,Management
Department Of Revenue,Management
General Assembly,Management
Governor's Office Of Management And Budget,Management
Joint Committee On Administrative Rules,Management
Judicial Inquiry Board,Management
Legislative Audit Commission,Management
Legislative Ethics Commission,Management
Legislative Information System,Management
Legislative Printing Unit,Management
Legislative Reference Bureau,Management
Legislative Research Unit,Management
Office Of The Architect Of The Capitol,Management
Office Of The Attorney General,Management
Office Of The Auditor General,Management
Office Of The Governor,Management
Office Of The Lieutenant Governor,Management
Office Of The Secretary Of State,Management
Office Of The State Appellate Defender,Management
Office Of The State Comptroller,Management
Office Of The State Treasurer,Management
Office Of The State's Attorneys Appellate Prosecutor,Management
Supreme Court,Management
Supreme Court Historic Preservation Commission,Management
Abraham Lincoln Presidential Library and Museum,Other
Civil Service Commission,Other
Department Of The Lottery,Other
Drycleaner Environmental Response Trust Fund Council,Other
East St. Louis Financial Advisory Authority,Other
Executive Ethics Commission,Other
Human Rights Commission,Other
Illinois Arts Council,Other
Illinois Council On Developmental Disabilities,Other
Illinois Deaf And Hard Of Hearing Commission,Other
Illinois Educational Labor Relations Board,Other
Illinois Gaming Board,Other
Illinois Guardianship And Advocacy Commission,Other
Illinois Independent Tax Tribunal,Other
Illinois Power Agency,Other
Illinois Racing Board,Other
Office Of Executive Inspector General,Other
Procurement Policy Board,Other
Property Tax Appeal Board,Other
State Board Of Elections,Other
General Assembly Retirement System,Pensions
Judges Retirement System,Pensions
State Employees' Retirement System,Pensions
State Universities Retirement System,Pensions
Teachers' Retirement System,Pensions
Department Of Financial And Professional Regulation,Public safety & health
Department Of Insurance,Public safety & health
Department Of Military Affairs,Public safety & health
Department Of Public Health,Public safety & health
Department Of State Police,Public safety & health
Illinois Commerce Commission,Public safety & health
Illinois Criminal Justice Information Authority,Public safety & health
Illinois Emergency Management Agency,Public safety & health
Illinois Law Enforcement Training And Standards Board,Public safety & health
Illinois State Police Merit Board,Public safety & health
Office Of The State Fire Marshal,Public safety & health
Department Of Transportation,Transportation
