Approp Code,Agency,Agency Name,Div,Division Name,Appropriation Name,Appropriation,Fund Name,Fund,Fund Category Name,Appropriation Type,Capital Line, FY14 Actual Approp , FY14 Actual Expend , FY15 Actual Approp , FY15 Estimate Expend , FY16 Governors Proposed 
101-10-0001-19100100,101,General Assembly,10,Senate Expenses,Ordinary and Contingent Expenses of Legislative Leadership and Legislative Staff Assistants: President of the Senate,19100100,General Revenue Fund,1,General Funds,New Appropriation,No,5295074,4202473.48,5295074,5295074,4765600
101-10-0001-19100200,101,General Assembly,10,Senate Expenses,Ordinary and Contingent Expenses of Legislative Leadership and Legislative Staff Assistants: Senate Minority Leader,19100200,General Revenue Fund,1,General Funds,New Appropriation,No,5295074,4630684.31,5295074,5295074,4765600
101-10-0001-19100300,101,General Assembly,10,Senate Expenses,"Ordinary and Incidental Expenses of Committees, General Staff and Operations, Transcribing and Printing of Senate Debates",19100300,General Revenue Fund,1,General Funds,New Appropriation,No,4251082,3374568.99,4251082,4251082,3826000
101-10-0001-19100400,101,General Assembly,10,Senate Expenses,Construct/Reconstruct Senate Offices (to Senate Operations Commission),19100400,General Revenue Fund,1,General Funds,New Appropriation,No,113700,30108.7,113700,113700,102300
101-10-0001-19100500,101,General Assembly,10,Senate Expenses,"Ordinary and Incidental Expenses of Senate, Including Purchase of Contract Printing, Binding, and Office Supplies: President of the Senate",19100500,General Revenue Fund,1,General Funds,New Appropriation,No,214204,154771.21,214204,214204,192800
101-10-0001-19100600,101,General Assembly,10,Senate Expenses,Allowances for Services of Officers of Senate: President,19100600,General Revenue Fund,1,General Funds,New Appropriation,No,83500,0,83500,83500,75150
101-10-0001-19100700,101,General Assembly,10,Senate Expenses,Allowances for Services of Officers of Senate: Minority Leader,19100700,General Revenue Fund,1,General Funds,New Appropriation,No,83500,71500,83500,83500,75150
101-10-0001-19100800,101,General Assembly,10,Senate Expenses,"Travel, Including Expenses to Springfield for Official Business when General Assembly is not in Session: President of the Senate",19100800,General Revenue Fund,1,General Funds,New Appropriation,No,57706,2241.28,57706,57706,51900
101-10-0001-19100900,101,General Assembly,10,Senate Expenses,President of the Senate,19100900,General Revenue Fund,1,General Funds,New Appropriation,No,4900765,4654169.55,4900765,4900765,4410700
101-10-0001-19101000,101,General Assembly,10,Senate Expenses,"Standing Committees for Expert Witnesses, Technical Service and Other Research Assistance: President of the Senate",19101000,General Revenue Fund,1,General Funds,New Appropriation,No,3038087,2165813.48,3038087,3038087,2734200
101-10-0001-19103011,101,General Assembly,10,Senate Expenses,Senate Planning and Preparation for Redistricting - Reappropriation,19103011,General Revenue Fund,1,General Funds,Reappropriation,No,390044,16756.37,373288,373288,373288
